,time,temp
701,1980-12-03,18.56448968
702,1980-12-04,15.6447626
703,1980-12-05,13.8610778
704,1980-12-06,15.1120904
705,1980-12-07,10.057006399999999
706,1980-12-08,8.5178768
707,1980-12-09,9.6906128
708,1980-12-10,4.605371599999998
709,1980-12-11,-9.294118599999997
710,1980-12-12,-11.728168599999997
711,1980-12-13,-5.817769600000005
712,1980-12-14,3.8112242000000016
713,1980-12-15,-5.469339999999995
714,1980-12-16,-12.3893518
715,1980-12-17,-11.111780199999998
716,1980-12-18,-2.5355776000000034
717,1980-12-19,2.0957089999999994
718,1980-12-20,3.1289179999999988
719,1980-12-21,7.5365239999999964
720,1980-12-22,12.838690399999997
721,1980-12-23,9.401892799999999
722,1980-12-24,10.6894904
723,1980-12-25,4.9405082
724,1980-12-26,3.053661800000004
725,1980-12-27,3.4663081999999967
726,1980-12-28,-0.18263560000000467
727,1980-12-29,13.978851800000001
728,1980-12-30,23.0873963
729,1980-12-31,28.26591188
